Menu,Raw Value,Name,Translated Value,Default,Description
001,0300,AGC FAST DELAY,0300 msec,300,AGC-FAST decay time
002,0700,AGC MID DELAY,0700 msec,700,AGC-MID decay time
003,3000,AGC SLOW DELAY,3000 msec,3000,AGC-SLOW decay time
004,0,HOME FUNCTION,SCOPE,0,HOME screen display
005,1,MY CALL INDICATION,1 sec,1,MY CALL display duration
006,2,DISPLAY COLOR,GREEN,0,VFO-A frequency field color
007,1,DIMMER LED,1,2,Key LED brightness
008,10,DIMMER TFT,10,8,TFT display brightness
009,3,BAR MTR PEAK HOLD,2,0,Bar meter peak hold time
010,050,DVS RX OUT LEVEL,050,050,Voice memory monitoring level
011,050,DVS TX OUT LEVEL,050,050,Mic output level for voice memory
012,3,KEYER TYPE,ELEKEY-B,3,Keyer mode
013,0,KEYER DOT/DASH,NOR,0,Reverse CW paddle connections
014,32,CW WEIGHT,32,32,CW keying weight
015,000,BEACON INTERVAL,OFF sec,000,Beacon repeat interval
016,0,NUMBER STYLE,1290,0,Contest number format
017,0001,CONTEST NUMBER,0001,0001,Contest number (Morse)
018,1,CW MEMORY 1,MESSAGE,1,Memory entry method
019,1,CW MEMORY 2,MESSAGE,1,Memory entry method
020,1,CW MEMORY 3,MESSAGE,1,Memory entry method
021,1,CW MEMORY 4,MESSAGE,1,Memory entry method
022,1,CW MEMORY 5,MESSAGE,1,Memory entry method
023,2,NB WIDTH,10 msec,2,NB pulse duration
024,1,NB REJECTION,30 dB,1,Noise attenuation level
025,02,NB LEVEL,02,02,NB strength
026,050,BEEP LEVEL,050,050,Beep volume
027,-700,TIME ZONE,-700,000,UTC offset
028,2,GPS/232C SELECT,RS232C,3,GPS/CAT jack function
029,3,232C RATE,38400,0,RS-232C baud rate
030,0,232C TOT,10 msec,0,RS-232C timeout
031,3,CAT RATE,38400,3,CAT baud rate
032,2,CAT TOT,1000 msec,2,CAT timeout
033,1,CAT RTS,ENABLE,1,CAT RTS flow control
034,0,MEM GROUP,DISABLE,0,Memory group function
035,5,QUICK SPLIT FREQ,+05 kHz,5,Offset for Quick Split
036,00,TX TOT,OFF min,00,Transmit timeout
037,1,MIC SCAN,ENABLE,1,Mic auto-scan
038,1,MIC SCAN RESUME,TIME,1,Scan resume mode
039,0,REF FREQ ADJ,0,0,Reference oscillator adjustment
040,0,CLAR MODE SELECT,RX,0,Clarifier mode
041,00,AM LCUT FREQ,OFF,00,AM low-cut filter frequency
042,0,AM LCUT SLOPE,6 dB/oct,0,AM low-cut slope
043,00,AM HCUT FREQ,OFF,00,AM high-cut filter frequency
044,0,AM HCUT SLOPE,6 dB/oct,0,AM high-cut slope
045,0,AM MIC SELECT,MIC,0,AM mic input
046,050,AM OUT LEVEL,050,050,AM audio output level
047,2,AM PTT SELECT,DTR,2,AM PTT control
048,1,AM PORT SELECT,USB,1,AM input port
049,050,AM DATA GAIN,050,050,AM input gain (REAR)
050,04,CW LCUT FREQ,04,04,CW low-cut filter frequency
051,1,CW LCUT SLOPE,18 dB/oct,1,CW low-cut slope
052,11,CW HCUT FREQ,11,11,CW high-cut filter frequency
053,1,CW HCUT SLOPE,18 dB/oct,1,CW high-cut slope
